ndwi,mndwi,ndci,ndti,do,ndsi,ph,chl_a,ssc,wst,date
,,,,,,,,,,01-01-2018
,,,,,,,,,,02-01-2018
,,,,,,,,,,03-01-2018
,,,,,,,,,,04-01-2018
,,,,,,,,,,05-01-2018
,,,,,,,,,,06-01-2018
,,,,,,,,,,07-01-2018
,,,,,,,,,,08-01-2018
,,,,,,,,,,09-01-2018
,,,,,,,,,,10-01-2018
,,,,,,,,,,11-01-2018
,,,,,,,,,,12-01-2018
,,,,,,,,,,13-01-2018
,,,,,,,,,,14-01-2018
,,,,,,,,,,15-01-2018
,,,,,,,,,,16-01-2018
,,,,,,,,,,17-01-2018
,,,,,,,,,,18-01-2018
,,,,,,,,,,19-01-2018
,,,,,,,,,,20-01-2018
,,,,,,,,,,21-01-2018
,,,,,,,,,,22-01-2018
,,,,,,,,,,23-01-2018
,,,,,,,,,,24-01-2018
,,,,,,,,,,25-01-2018
,,,,,,,,,,26-01-2018
,,,,,,,,,,27-01-2018
,,,,,,,,,,28-01-2018
,,,,,,,,,,29-01-2018
,,,,,,,,,,30-01-2018
,,,,,,,,,,31-01-2018
,,,,,,,,,,01-02-2018
,,,,,,,,,,02-02-2018
,,,,,,,,,,03-02-2018
,,,,,,,,,,04-02-2018
,,,,,,,,,,05-02-2018
,,,,,,,,,,06-02-2018
,,,,,,,,,,07-02-2018
,,,,,,,,,,08-02-2018
,,,,,,,,,,09-02-2018
,,,,,,,,,,10-02-2018
,,,,,,,,,,11-02-2018
,,,,,,,,,,12-02-2018
,,,,,,,,,,13-02-2018
,,,,,,,,,,14-02-2018
,,,,,,,,,,15-02-2018
,,,,,,,,,,16-02-2018
,,,,,,,,,,17-02-2018
,,,,,,,,,,18-02-2018
,,,,,,,,,,19-02-2018
,,,,,,,,,,20-02-2018
,,,,,,,,,,21-02-2018
,,,,,,,,,,22-02-2018
,,,,,,,,,,23-02-2018
,,,,,,,,,,24-02-2018
,,,,,,,,,,25-02-2018
,,,,,,,,,,26-02-2018
,,,,,,,,,,27-02-2018
,,,,,,,,,,28-02-2018
,,,,,,,,,,01-03-2018
,,,,,,,,,,02-03-2018
,,,,,,,,,,03-03-2018
,,,,,,,,,,04-03-2018
,,,,,,,,,,05-03-2018
,,,,,,,,,,06-03-2018
,,,,,,,,,,07-03-2018
,,,,,,,,,,08-03-2018
,,,,,,,,,,09-03-2018
,,,,,,,,,,10-03-2018
,,,,,,,,,,11-03-2018
,,,,,,,,,,12-03-2018
,,,,,,,,,,13-03-2018
,,,,,,,,,,14-03-2018
,,,,,,,,,,15-03-2018
,,,,,,,,,,16-03-2018
,,,,,,,,,,17-03-2018
,,,,,,,,,,18-03-2018
,,,,,,,,,,19-03-2018
,,,,,,,,,,20-03-2018
,,,,,,,,,,21-03-2018
,,,,,,,,,,22-03-2018
,,,,,,,,,,23-03-2018
,,,,,,,,,,24-03-2018
,,,,,,,,,,25-03-2018
,,,,,,,,,,26-03-2018
,,,,,,,,,,27-03-2018
,,,,,,,,,,28-03-2018
,,,,,,,,,,29-03-2018
,,,,,,,,,,30-03-2018
,,,,,,,,,,31-03-2018
,,,,,,,,,,01-04-2018
,,,,,,,,,,02-04-2018
,,,,,,,,,,03-04-2018
,,,,,,,,,,04-04-2018
,,,,,,,,,,05-04-2018
,,,,,,,,,,06-04-2018
,,,,,,,,,,07-04-2018
,,,,,,,,,,08-04-2018
,,,,,,,,,,09-04-2018
,,,,,,,,,,10-04-2018
,,,,,,,,,,11-04-2018
,,,,,,,,,,12-04-2018
,,,,,,,,,,13-04-2018
,,,,,,,,,,14-04-2018
,,,,,,,,,,15-04-2018
,,,,,,,,,,16-04-2018
,,,,,,,,,,17-04-2018
,,,,,,,,,,18-04-2018
,,,,,,,,,,19-04-2018
,,,,,,,,,,20-04-2018
,,,,,,,,,,21-04-2018
,,,,,,,,,,22-04-2018
,,,,,,,,,,23-04-2018
,,,,,,,,,,24-04-2018
,,,,,,,,,,25-04-2018
,,,,,,,,,,26-04-2018
,,,,,,,,,,27-04-2018
