,Suspended Matter
2018-04-01,
2018-04-02,0.658114653919782
2018-04-03,0.6286523496770033
2018-04-03,
2018-04-03,
2018-04-03,
2018-04-03,
2018-04-03,
2018-04-03,
2018-04-04,
2018-04-04,
2018-04-04,
2018-04-04,
2018-04-04,
2018-04-04,
2018-04-04,
2018-04-04,
2018-04-04,
2018-04-04,
2018-04-04,
2018-04-04,
2018-04-04,
2018-04-04,
2018-04-04,
2018-04-05,
2018-04-05,
2018-04-05,
2018-04-05,
2018-04-05,0.6892575795070573
2018-04-05,
2018-04-05,
2018-04-05,
2018-04-05,
2018-04-05,
2018-04-05,
2018-04-05,
2018-04-05,
2018-04-05,
2018-04-05,
2018-04-06,
2018-04-06,
2018-04-06,
2018-04-06,
2018-04-06,0.6260557599328809
2018-04-06,
2018-04-06,
2018-04-06,
2018-04-06,
2018-04-06,
2018-04-06,
2018-04-06,
2018-04-06,
2018-04-06,
2018-04-06,
2018-04-07,
2018-04-07,
2018-04-07,
2018-04-07,
2018-04-07,
2018-04-07,
2018-04-07,
2018-04-07,
2018-04-07,
2018-04-07,
2018-04-07,
2018-04-07,
2018-04-07,
2018-04-07,
2018-04-08,
2018-04-08,
2018-04-08,
2018-04-08,
2018-04-08,
2018-04-08,
2018-04-08,
2018-04-08,
2018-04-08,
2018-04-08,
2018-04-08,
2018-04-08,
2018-04-08,
2018-04-08,
2018-04-08,
2018-04-09,
2018-04-09,
2018-04-09,
2018-04-09,
2018-04-09,0.6345671912237185
2018-04-09,
2018-04-09,
2018-04-09,
2018-04-09,
2018-04-09,
2018-04-09,
2018-04-09,
2018-04-09,
2018-04-09,
2018-04-09,
