ndwi,mndwi,ndci,date
,,,22-07-2018
,,,23-07-2018
,,,24-07-2018
,,,25-07-2018
,,,26-07-2018
,,,27-07-2018
,,,28-07-2018
,,,29-07-2018
,,,30-07-2018
,,,31-07-2018
,,,01-08-2018
,,,02-08-2018
,,,03-08-2018
,,,04-08-2018
,,,05-08-2018
,,,06-08-2018
,,,07-08-2018
,,,08-08-2018
,,,09-08-2018
,,,10-08-2018
,,,11-08-2018
,,,12-08-2018
,,,13-08-2018
,,,14-08-2018
,,,15-08-2018
,,,16-08-2018
,,,17-08-2018
,,,18-08-2018
,,,19-08-2018
,,,20-08-2018
,,,21-08-2018
,,,22-08-2018
,,,23-08-2018
,,,24-08-2018
,,,25-08-2018
,,,26-08-2018
,,,27-08-2018
,,,28-08-2018
,,,29-08-2018
,,,30-08-2018
,,,31-08-2018
,,,01-09-2018
,,,02-09-2018
,,,03-09-2018
,,,04-09-2018
,,,05-09-2018
,,,06-09-2018
,,,07-09-2018
,,,08-09-2018
,,,09-09-2018
,,,10-09-2018
,,,11-09-2018
,,,12-09-2018
,,,13-09-2018
,,,14-09-2018
,,,15-09-2018
,,,16-09-2018
,,,17-09-2018
,,,18-09-2018
,,,19-09-2018
,,,20-09-2018
,,,21-09-2018
,,,22-09-2018
,,,23-09-2018
,,,24-09-2018
,,,25-09-2018
,,,26-09-2018
,,,27-09-2018
,,,28-09-2018
,,,29-09-2018
,,,30-09-2018
,,,01-10-2018
,,,02-10-2018
,,,03-10-2018
,,,04-10-2018
,,,05-10-2018
,,,06-10-2018
,,,07-10-2018
,,,08-10-2018
,,,09-10-2018
,,,10-10-2018
,,,11-10-2018
,,,12-10-2018
,,,13-10-2018
,,,14-10-2018
,,,15-10-2018
,,,16-10-2018
,,,17-10-2018
,,,18-10-2018
,,,19-10-2018
,,,20-10-2018
,,,21-10-2018
,,,22-10-2018
,,,23-10-2018
,,,24-10-2018
,,,25-10-2018
,,,26-10-2018
,,,27-10-2018
,,,28-10-2018
,,,29-10-2018
,,,30-10-2018
,,,31-10-2018
,,,01-11-2018
,,,02-11-2018
,,,03-11-2018
,,,04-11-2018
,,,05-11-2018
,,,06-11-2018
,,,07-11-2018
,,,08-11-2018
,,,09-11-2018
,,,10-11-2018
,,,11-11-2018
,,,12-11-2018
,,,13-11-2018
,,,14-11-2018
,,,15-11-2018
,,,16-11-2018
,,,17-11-2018
,,,18-11-2018
,,,19-11-2018
,,,20-11-2018
,,,21-11-2018
,,,22-11-2018
,,,23-11-2018
,,,24-11-2018
,,,25-11-2018
,,,26-11-2018
,,,27-11-2018
,,,28-11-2018
,,,29-11-2018
,,,30-11-2018
,,,01-12-2018
,,,02-12-2018
,,,03-12-2018
,,,04-12-2018
,,,05-12-2018
,,,06-12-2018
,,,07-12-2018
,,,08-12-2018
,,,09-12-2018
,,,10-12-2018
,,,11-12-2018
,,,12-12-2018
,,,13-12-2018
,,,14-12-2018
,,,15-12-2018
,,,16-12-2018
,,,17-12-2018
-0.020861919,0.008649019,-0.099012116,18-12-2018
,,,19-12-2018
,,,20-12-2018
,,,21-12-2018
,,,22-12-2018
-0.0663828,-0.004411159,-0.146087762,23-12-2018
,,,24-12-2018
,,,25-12-2018
,,,26-12-2018
,,,27-12-2018
-0.123395004,-0.049940138,-0.207327705,28-12-2018
,,,29-12-2018
,,,30-12-2018
,,,01-01-2019
-0.115217946,-0.060342176,-0.200085363,02-01-2019
,,,03-01-2019
,,,04-01-2019
,,,05-01-2019
,,,06-01-2019
-0.031383204,0.024425875,-0.094756817,07-01-2019
,,,08-01-2019
,,,09-01-2019
,,,10-01-2019
,,,11-01-2019
-0.066477598,-0.020034872,-0.149866203,12-01-2019
,,,13-01-2019
,,,14-01-2019
,,,15-01-2019
,,,16-01-2019
-0.145863701,-0.09431779,-0.245130348,17-01-2019
,,,18-01-2019
,,,19-01-2019
,,,20-01-2019
,,,21-01-2019
-0.136003357,-0.124028793,-0.26539846,22-01-2019
,,,23-01-2019
,,,24-01-2019
,,,25-01-2019
,,,26-01-2019
,,,27-01-2019
,,,28-01-2019
,,,29-01-2019
,,,30-01-2019
-0.118598855,-0.104901777,-0.239304288,01-02-2019
,,,02-02-2019
,,,03-02-2019
,,,04-02-2019
,,,05-02-2019
-0.062026018,-0.014331943,-0.138667265,06-02-2019
,,,07-02-2019
,,,08-02-2019
,,,09-02-2019
,,,10-02-2019
-0.177497488,-0.115932203,-0.300088162,11-02-2019
,,,12-02-2019
,,,13-02-2019
,,,14-02-2019
,,,15-02-2019
,,,16-02-2019
,,,17-02-2019
,,,18-02-2019
,,,19-02-2019
,,,20-02-2019
,,,21-02-2019
,,,22-02-2019
,,,23-02-2019
,,,24-02-2019
,,,25-02-2019
-0.184549921,-0.085411097,-0.337683639,26-02-2019
,,,27-02-2019
,,,28-02-2019
,,,01-03-2019
,,,02-03-2019
,,,04-03-2019
,,,05-03-2019
,,,06-03-2019
,,,07-03-2019
-0.205114835,-0.12586479,-0.361543037,08-03-2019
,,,09-03-2019
,,,10-03-2019
,,,11-03-2019
,,,12-03-2019
,,,13-03-2019
,,,14-03-2019
,,,15-03-2019
,,,16-03-2019
,,,17-03-2019
,,,18-03-2019
,,,19-03-2019
,,,20-03-2019
,,,21-03-2019
,,,22-03-2019
-0.163502398,-0.070116713,-0.315741529,23-03-2019
,,,24-03-2019
,,,25-03-2019
,,,26-03-2019
,,,27-03-2019
-0.152551268,-0.077350807,-0.311639942,28-03-2019
,,,29-03-2019
,,,30-03-2019
,,,01-04-2019
-0.152163857,-0.062063925,-0.295865653,02-04-2019
,,,03-04-2019
,,,04-04-2019
,,,05-04-2019
,,,06-04-2019
-0.171363533,-0.086333957,-0.317237475,07-04-2019
,,,08-04-2019
,,,09-04-2019
,,,10-04-2019
,,,11-04-2019
-0.170119092,-0.081499348,-0.304888499,12-04-2019
,,,13-04-2019
,,,14-04-2019
,,,15-04-2019
,,,16-04-2019
-0.049553547,-0.026150407,-0.106009575,17-04-2019
,,,18-04-2019
,,,19-04-2019
,,,20-04-2019
,,,21-04-2019
-0.181847366,-0.095359173,-0.307635145,22-04-2019
,,,23-04-2019
,,,24-04-2019
,,,25-04-2019
,,,26-04-2019
-0.166698118,-0.086357834,-0.295993672,27-04-2019
,,,28-04-2019
,,,29-04-2019
,,,30-04-2019
-0.162186226,-0.069061982,-0.293566339,02-05-2019
,,,03-05-2019
,,,04-05-2019
,,,05-05-2019
,,,06-05-2019
-0.159659723,-0.071845787,-0.299851938,07-05-2019
,,,08-05-2019
,,,09-05-2019
,,,10-05-2019
,,,11-05-2019
-0.138704804,-0.074415541,-0.267053544,12-05-2019
,,,13-05-2019
,,,14-05-2019
,,,15-05-2019
,,,16-05-2019
-0.157088546,-0.088912857,-0.298474144,17-05-2019
,,,18-05-2019
,,,19-05-2019
,,,20-05-2019
,,,21-05-2019
-0.16661429,-0.099908576,-0.310089566,22-05-2019
,,,23-05-2019
,,,24-05-2019
,,,25-05-2019
,,,26-05-2019
-0.153182196,-0.093800645,-0.295470718,27-05-2019
,,,28-05-2019
,,,29-05-2019
,,,30-05-2019
-0.155687443,-0.088185192,-0.295801858,01-06-2019
,,,02-06-2019
,,,03-06-2019
,,,04-06-2019
,,,05-06-2019
-0.148108443,-0.090485343,-0.289176579,06-06-2019
,,,07-06-2019
,,,08-06-2019
,,,09-06-2019
,,,10-06-2019
-0.154464032,-0.094275742,-0.295399711,11-06-2019
,,,12-06-2019
,,,13-06-2019
,,,14-06-2019
,,,15-06-2019
,,,16-06-2019
,,,17-06-2019
,,,18-06-2019
,,,19-06-2019
,,,20-06-2019
,,,21-06-2019
,,,22-06-2019
,,,23-06-2019
,,,24-06-2019
,,,25-06-2019
,,,26-06-2019
,,,27-06-2019
,,,28-06-2019
,,,29-06-2019
,,,30-06-2019
,,,02-07-2019
,,,03-07-2019
,,,04-07-2019
,,,05-07-2019
,,,06-07-2019
,,,07-07-2019
,,,08-07-2019
,,,09-07-2019
,,,10-07-2019
,,,11-07-2019
,,,12-07-2019
,,,13-07-2019
,,,14-07-2019
,,,15-07-2019
,,,16-07-2019
,,,17-07-2019
,,,18-07-2019
,,,19-07-2019
,,,20-07-2019
,,,21-07-2019
,,,22-07-2019
,,,23-07-2019
,,,24-07-2019
,,,25-07-2019
,,,26-07-2019
,,,27-07-2019
,,,28-07-2019
,,,29-07-2019
,,,30-07-2019
,,,01-08-2019
,,,02-08-2019
,,,03-08-2019
,,,04-08-2019
,,,05-08-2019
,,,06-08-2019
,,,07-08-2019
,,,08-08-2019
,,,09-08-2019
,,,10-08-2019
,,,11-08-2019
,,,12-08-2019
,,,13-08-2019
,,,14-08-2019
,,,15-08-2019
,,,16-08-2019
,,,17-08-2019
,,,18-08-2019
,,,19-08-2019
,,,20-08-2019
,,,21-08-2019
,,,22-08-2019
,,,23-08-2019
,,,24-08-2019
,,,25-08-2019
,,,26-08-2019
,,,27-08-2019
,,,28-08-2019
,,,29-08-2019
,,,30-08-2019
,,,01-09-2019
,,,02-09-2019
,,,03-09-2019
,,,04-09-2019
,,,05-09-2019
,,,06-09-2019
,,,07-09-2019
,,,08-09-2019
,,,09-09-2019
,,,10-09-2019
,,,11-09-2019
,,,12-09-2019
,,,13-09-2019
,,,14-09-2019
,,,15-09-2019
,,,16-09-2019
,,,17-09-2019
,,,18-09-2019
,,,19-09-2019
,,,20-09-2019
,,,21-09-2019
,,,22-09-2019
,,,23-09-2019
,,,24-09-2019
,,,25-09-2019
,,,26-09-2019
,,,27-09-2019
,,,28-09-2019
,,,29-09-2019
,,,30-09-2019
,,,02-10-2019
,,,03-10-2019
0.466725888,0.234399111,0.51482748,04-10-2019
,,,05-10-2019
,,,06-10-2019
,,,07-10-2019
,,,08-10-2019
0.522558342,0.321069167,0.603317605,09-10-2019
,,,10-10-2019
,,,11-10-2019
,,,12-10-2019
,,,13-10-2019
0.386159494,0.132130779,0.522250338,14-10-2019
,,,15-10-2019
,,,16-10-2019
,,,17-10-2019
,,,18-10-2019
,,,19-10-2019
,,,20-10-2019
,,,21-10-2019
,,,22-10-2019
,,,23-10-2019
,,,24-10-2019
,,,25-10-2019
,,,26-10-2019
,,,27-10-2019
,,,28-10-2019
,,,29-10-2019
,,,30-10-2019
,,,01-11-2019
,,,02-11-2019
,,,03-11-2019
,,,04-11-2019
,,,05-11-2019
,,,06-11-2019
,,,07-11-2019
,,,08-11-2019
,,,09-11-2019
,,,10-11-2019
,,,11-11-2019
,,,12-11-2019
,,,13-11-2019
,,,14-11-2019
,,,15-11-2019
,,,16-11-2019
,,,17-11-2019
,,,18-11-2019
,,,19-11-2019
,,,20-11-2019
,,,21-11-2019
,,,22-11-2019
0.531238519,0.313110362,0.616060421,23-11-2019
,,,24-11-2019
,,,25-11-2019
,,,26-11-2019
,,,27-11-2019
0.558760639,0.427021884,0.62914603,28-11-2019
,,,29-11-2019
,,,30-11-2019
,,,02-12-2019
0.481790676,0.397105749,0.534194897,03-12-2019
,,,04-12-2019
,,,05-12-2019
,,,06-12-2019
,,,07-12-2019
0.57829914,0.356385971,0.653158642,08-12-2019
,,,09-12-2019
,,,10-12-2019
,,,11-12-2019
,,,12-12-2019
0.531361984,0.267473098,0.615697688,13-12-2019
,,,14-12-2019
,,,15-12-2019
,,,16-12-2019
,,,17-12-2019
0.614068343,0.317000562,0.69695914,18-12-2019
,,,19-12-2019
,,,20-12-2019
,,,21-12-2019
,,,22-12-2019
0.445507065,0.252709917,0.528185293,23-12-2019
,,,24-12-2019
,,,25-12-2019
,,,26-12-2019
,,,27-12-2019
0.6287925,0.417316653,0.732248343,28-12-2019
,,,29-12-2019
,,,30-12-2019
,,,01-01-2020
,,,02-01-2020
,,,03-01-2020
,,,04-01-2020
,,,05-01-2020
,,,06-01-2020
,,,07-01-2020
,,,08-01-2020
,,,09-01-2020
,,,10-01-2020
,,,11-01-2020
,,,12-01-2020
,,,13-01-2020
,,,14-01-2020
,,,15-01-2020
,,,16-01-2020
0.363646695,0.079182121,0.518758742,17-01-2020
,,,18-01-2020
,,,19-01-2020
,,,20-01-2020
,,,21-01-2020
,,,22-01-2020
,,,23-01-2020
,,,24-01-2020
,,,25-01-2020
,,,26-01-2020
,,,27-01-2020
,,,28-01-2020
,,,29-01-2020
,,,30-01-2020
0.355603702,0.161915908,0.521804273,01-02-2020
,,,02-02-2020
,,,03-02-2020
,,,04-02-2020
,,,05-02-2020
,,,06-02-2020
,,,07-02-2020
,,,08-02-2020
,,,09-02-2020
,,,10-02-2020
0.417209595,0.035179538,0.549272724,11-02-2020
,,,12-02-2020
,,,13-02-2020
,,,14-02-2020
,,,15-02-2020
,,,16-02-2020
,,,17-02-2020
,,,18-02-2020
,,,19-02-2020
,,,20-02-2020
0.366609137,0.189801146,0.47100362,21-02-2020
,,,22-02-2020
,,,23-02-2020
,,,24-02-2020
,,,25-02-2020
,,,26-02-2020
,,,27-02-2020
,,,28-02-2020
,,,29-02-2020
,,,01-03-2020
,,,03-03-2020
,,,04-03-2020
,,,05-03-2020
,,,06-03-2020
,,,07-03-2020
,,,08-03-2020
,,,09-03-2020
,,,10-03-2020
,,,11-03-2020
,,,12-03-2020
,,,13-03-2020
,,,14-03-2020
,,,15-03-2020
,,,16-03-2020
,,,17-03-2020
,,,18-03-2020
,,,19-03-2020
,,,20-03-2020
,,,21-03-2020
,,,22-03-2020
,,,23-03-2020
,,,24-03-2020
,,,25-03-2020
,,,26-03-2020
,,,27-03-2020
,,,28-03-2020
,,,29-03-2020
,,,30-03-2020
0.079098796,-0.023849006,0.127705534,01-04-2020
,,,02-04-2020
,,,03-04-2020
,,,04-04-2020
,,,05-04-2020
0.328560822,0.171507991,0.414680839,06-04-2020
,,,07-04-2020
,,,08-04-2020
,,,09-04-2020
,,,10-04-2020
0.177700896,0.063921259,0.237160831,11-04-2020
,,,12-04-2020
,,,13-04-2020
,,,14-04-2020
,,,15-04-2020
0.2055662,0.05382323,0.284349844,16-04-2020
,,,17-04-2020
,,,18-04-2020
,,,19-04-2020
,,,20-04-2020
0.160796806,-0.041245861,0.227319956,21-04-2020
,,,22-04-2020
,,,23-04-2020
,,,24-04-2020
,,,25-04-2020
0.15186279,-0.021389159,0.213925653,26-04-2020
,,,27-04-2020
,,,28-04-2020
,,,29-04-2020
,,,30-04-2020
,,,02-05-2020
,,,03-05-2020
,,,04-05-2020
,,,05-05-2020
0.079103088,-0.043990102,0.154687897,06-05-2020
,,,07-05-2020
,,,08-05-2020
,,,09-05-2020
,,,10-05-2020
0.053640277,-0.054461219,0.060361854,11-05-2020
,,,12-05-2020
,,,13-05-2020
,,,14-05-2020
,,,15-05-2020
0.043775138,-0.023699226,0.087489992,16-05-2020
,,,17-05-2020
,,,18-05-2020
,,,19-05-2020
,,,20-05-2020
0.037223255,-0.052764291,0.110130379,21-05-2020
,,,22-05-2020
,,,23-05-2020
,,,24-05-2020
,,,25-05-2020
0.039183416,-0.027448566,0.052059635,26-05-2020
,,,27-05-2020
,,,28-05-2020
,,,29-05-2020
,,,30-05-2020
,,,01-06-2020
,,,02-06-2020
,,,03-06-2020
,,,04-06-2020
0.123934397,0.039793593,0.143961654,05-06-2020
,,,06-06-2020
,,,07-06-2020
,,,08-06-2020
,,,09-06-2020
0.109742129,0.03340639,0.111030789,10-06-2020
,,,11-06-2020
,,,12-06-2020
,,,13-06-2020
,,,14-06-2020
,,,15-06-2020
,,,16-06-2020
,,,17-06-2020
,,,18-06-2020
,,,19-06-2020
,,,20-06-2020
,,,21-06-2020
,,,22-06-2020
,,,23-06-2020
,,,24-06-2020
,,,25-06-2020
,,,26-06-2020
,,,27-06-2020
,,,28-06-2020
,,,29-06-2020
-0.060224691,0.014156896,-0.103964509,30-06-2020
,,,01-08-2020
,,,02-08-2020
,,,03-08-2020
,,,04-08-2020
,,,05-08-2020
,,,06-08-2020
,,,07-08-2020
,,,08-08-2020
,,,09-08-2020
,,,10-08-2020
,,,11-08-2020
,,,12-08-2020
,,,13-08-2020
,,,14-08-2020
,,,15-08-2020
,,,16-08-2020
,,,17-08-2020
,,,18-08-2020
,,,19-08-2020
,,,20-08-2020
,,,21-08-2020
,,,22-08-2020
,,,23-08-2020
,,,24-08-2020
,,,25-08-2020
,,,26-08-2020
,,,27-08-2020
,,,28-08-2020
,,,29-08-2020
,,,30-08-2020
,,,01-09-2020
,,,02-09-2020
,,,03-09-2020
,,,04-09-2020
,,,05-09-2020
,,,06-09-2020
,,,07-09-2020
,,,08-09-2020
,,,09-09-2020
,,,10-09-2020
,,,11-09-2020
,,,12-09-2020
,,,13-09-2020
,,,14-09-2020
,,,15-09-2020
,,,16-09-2020
,,,17-09-2020
,,,18-09-2020
,,,19-09-2020
,,,20-09-2020
,,,21-09-2020
,,,22-09-2020
,,,23-09-2020
,,,24-09-2020
,,,25-09-2020
,,,26-09-2020
,,,27-09-2020
0.343565024,0.069858583,0.383096244,28-09-2020
,,,29-09-2020
,,,30-09-2020
,,,02-10-2020
,,,03-10-2020
,,,04-10-2020
,,,05-10-2020
,,,06-10-2020
,,,07-10-2020
,,,08-10-2020
,,,09-10-2020
,,,10-10-2020
,,,11-10-2020
,,,12-10-2020
,,,13-10-2020
,,,14-10-2020
,,,15-10-2020
,,,16-10-2020
,,,17-10-2020
0.49455703,0.310579809,0.591778933,18-10-2020
,,,19-10-2020
,,,20-10-2020
,,,21-10-2020
,,,22-10-2020
0.397234731,0.280494522,0.534990294,23-10-2020
,,,24-10-2020
,,,25-10-2020
,,,26-10-2020
,,,27-10-2020
0.337653933,0.229652527,0.418538958,28-10-2020
,,,29-10-2020
,,,30-10-2020
,,,01-11-2020
0.361940446,0.249324797,0.441195588,02-11-2020
,,,03-11-2020
,,,04-11-2020
,,,05-11-2020
,,,06-11-2020
0.40777831,0.276336083,0.497397658,07-11-2020
,,,08-11-2020
,,,09-11-2020
,,,10-11-2020
,,,11-11-2020
0.434213375,0.323710898,0.525622789,12-11-2020
,,,13-11-2020
,,,14-11-2020
,,,15-11-2020
,,,16-11-2020
0.519994099,0.370319205,0.586513795,17-11-2020
,,,18-11-2020
,,,19-11-2020
,,,20-11-2020
,,,21-11-2020
0.482867473,0.37071335,0.580114328,22-11-2020
,,,23-11-2020
,,,24-11-2020
,,,25-11-2020
,,,26-11-2020
0.480018283,0.352972201,0.557268351,27-11-2020
,,,28-11-2020
,,,29-11-2020
,,,30-11-2020
0.471077005,0.294463679,0.571871049,02-12-2020
,,,03-12-2020
,,,04-12-2020
,,,05-12-2020
,,,06-12-2020
0.408318862,0.22258313,0.518528973,07-12-2020
,,,08-12-2020
,,,09-12-2020
,,,10-12-2020
,,,11-12-2020
,,,12-12-2020
,,,13-12-2020
,,,14-12-2020
,,,15-12-2020
,,,16-12-2020
0.388579073,0.2022144,0.46192122,17-12-2020
,,,18-12-2020
,,,19-12-2020
,,,20-12-2020
,,,21-12-2020
0.434561612,0.258979861,0.573115153,22-12-2020
,,,23-12-2020
,,,24-12-2020
,,,25-12-2020
,,,26-12-2020
0.437247,0.190501213,0.516420826,27-12-2020
,,,28-12-2020
,,,29-12-2020
,,,30-12-2020
0.452821106,0.352939595,0.519986988,01-01-2021
,,,02-01-2021
,,,03-01-2021
,,,04-01-2021
,,,05-01-2021
0.42185377,0.229472782,0.473780708,06-01-2021
,,,07-01-2021
,,,08-01-2021
,,,09-01-2021
,,,10-01-2021
,,,11-01-2021
,,,12-01-2021
,,,13-01-2021
,,,14-01-2021
,,,15-01-2021
0.400329693,0.244431772,0.486266329,16-01-2021
,,,17-01-2021
,,,18-01-2021
,,,19-01-2021
,,,20-01-2021
0.375267552,0.241044559,0.521282947,21-01-2021
,,,22-01-2021
,,,23-01-2021
,,,24-01-2021
,,,25-01-2021
,,,26-01-2021
,,,27-01-2021
,,,28-01-2021
,,,29-01-2021
,,,30-01-2021
,,,01-02-2021
,,,02-02-2021
,,,03-02-2021
,,,04-02-2021
0.273968837,0.215025969,0.291939939,05-02-2021
,,,06-02-2021
,,,07-02-2021
,,,08-02-2021
,,,09-02-2021
0.361625932,0.063220926,0.526445572,10-02-2021
,,,11-02-2021
,,,12-02-2021
,,,13-02-2021
,,,14-02-2021
,,,15-02-2021
,,,16-02-2021
,,,17-02-2021
,,,18-02-2021
,,,19-02-2021
,,,20-02-2021
,,,21-02-2021
,,,22-02-2021
,,,23-02-2021
,,,24-02-2021
,,,25-02-2021
,,,26-02-2021
,,,27-02-2021
,,,28-02-2021
,,,01-03-2021
,,,02-03-2021
,,,04-03-2021
,,,05-03-2021
,,,06-03-2021
,,,07-03-2021
,,,08-03-2021
,,,09-03-2021
,,,10-03-2021
,,,11-03-2021
,,,12-03-2021
,,,13-03-2021
,,,14-03-2021
,,,15-03-2021
,,,16-03-2021
0.206494285,0.170020575,0.224562802,17-03-2021
,,,18-03-2021
,,,19-03-2021
,,,20-03-2021
,,,21-03-2021
,,,22-03-2021
,,,23-03-2021
,,,24-03-2021
,,,25-03-2021
,,,26-03-2021
0.024629805,-0.044511849,0.114393692,27-03-2021
,,,28-03-2021
,,,29-03-2021
,,,30-03-2021
0.02387541,-0.029228175,0.083532081,01-04-2021
,,,02-04-2021
,,,03-04-2021
,,,04-04-2021
,,,05-04-2021
0.11835635,0.045612707,0.17053788,06-04-2021
,,,07-04-2021
,,,08-04-2021
,,,09-04-2021
,,,10-04-2021
0.193066946,0.145132344,0.214789171,11-04-2021
,,,12-04-2021
,,,13-04-2021
,,,14-04-2021
,,,15-04-2021
0.108733615,0.053219508,0.113942727,16-04-2021
,,,17-04-2021
,,,18-04-2021
,,,19-04-2021
,,,20-04-2021
,,,21-04-2021
,,,22-04-2021
,,,23-04-2021
,,,24-04-2021
,,,25-04-2021
0.101122865,-0.040383544,0.204318125,26-04-2021
,,,27-04-2021
,,,28-04-2021
,,,29-04-2021
,,,30-04-2021
,,,02-05-2021
,,,03-05-2021
,,,04-05-2021
,,,05-05-2021
0.059242806,-0.017240966,0.098793535,06-05-2021
,,,07-05-2021
,,,08-05-2021
,,,09-05-2021
,,,10-05-2021
0.054183493,-0.054624369,0.096534726,11-05-2021
,,,12-05-2021
,,,13-05-2021
,,,14-05-2021
,,,15-05-2021
0.14659215,0.008805265,0.182281988,16-05-2021
,,,17-05-2021
,,,18-05-2021
,,,19-05-2021
,,,20-05-2021
0.026717448,-0.01998804,0.005722653,21-05-2021
,,,22-05-2021
,,,23-05-2021
,,,24-05-2021
,,,25-05-2021
0.018157099,-0.028422992,-0.002997159,26-05-2021
,,,27-05-2021
,,,28-05-2021
,,,29-05-2021
,,,30-05-2021
,,,01-06-2021
,,,02-06-2021
,,,03-06-2021
,,,04-06-2021
,,,05-06-2021
,,,06-06-2021
,,,07-06-2021
,,,08-06-2021
,,,09-06-2021
,,,10-06-2021
,,,11-06-2021
,,,12-06-2021
,,,13-06-2021
,,,14-06-2021
,,,15-06-2021
,,,16-06-2021
,,,17-06-2021
,,,18-06-2021
,,,19-06-2021
,,,20-06-2021
,,,21-06-2021
,,,22-06-2021
,,,23-06-2021
,,,24-06-2021
,,,25-06-2021
,,,26-06-2021
,,,27-06-2021
,,,28-06-2021
,,,29-06-2021
,,,30-06-2021
,,,02-07-2021
,,,03-07-2021
,,,04-07-2021
0.086092923,0.113287319,0.081008781,05-07-2021
,,,06-07-2021
,,,07-07-2021
,,,08-07-2021
,,,09-07-2021
,,,10-07-2021
,,,11-07-2021
,,,12-07-2021
,,,13-07-2021
,,,14-07-2021
,,,15-07-2021
,,,16-07-2021
,,,17-07-2021
,,,18-07-2021
,,,19-07-2021
,,,20-07-2021
,,,21-07-2021
,,,22-07-2021
,,,23-07-2021
,,,24-07-2021
,,,25-07-2021
,,,26-07-2021
,,,27-07-2021
,,,28-07-2021
,,,29-07-2021
