chl_a,ssc,date
,,15-08-2018
,,16-08-2018
,,17-08-2018
,,18-08-2018
,,19-08-2018
,,20-08-2018
,,21-08-2018
,,22-08-2018
,,23-08-2018
,,24-08-2018
,,25-08-2018
,,26-08-2018
,,27-08-2018
,,28-08-2018
,,29-08-2018
,,30-08-2018
,,31-08-2018
,,01-09-2018
,,02-09-2018
,,03-09-2018
,,04-09-2018
,,05-09-2018
,,06-09-2018
,,07-09-2018
,,08-09-2018
,,09-09-2018
,,10-09-2018
,,11-09-2018
,,12-09-2018
,,13-09-2018
,,14-09-2018
,,15-09-2018
,,16-09-2018
,,17-09-2018
,,18-09-2018
,,19-09-2018
,,20-09-2018
,,21-09-2018
,,22-09-2018
,,23-09-2018
,,24-09-2018
,,25-09-2018
,,26-09-2018
,,27-09-2018
,,28-09-2018
,,29-09-2018
,,30-09-2018
,,01-10-2018
,,02-10-2018
,,03-10-2018
,,04-10-2018
,,05-10-2018
,,06-10-2018
,,07-10-2018
,,08-10-2018
,,09-10-2018
,,10-10-2018
,,11-10-2018
,,12-10-2018
,,13-10-2018
,,14-10-2018
,,15-10-2018
,,16-10-2018
,,17-10-2018
,,18-10-2018
,,19-10-2018
,,20-10-2018
,,21-10-2018
,,22-10-2018
,,23-10-2018
,,24-10-2018
,,25-10-2018
,,26-10-2018
,,27-10-2018
,,28-10-2018
,,29-10-2018
,,30-10-2018
,,31-10-2018
,,01-11-2018
,,02-11-2018
,,03-11-2018
,,04-11-2018
,,05-11-2018
,,06-11-2018
,,07-11-2018
,,08-11-2018
,,09-11-2018
,,10-11-2018
,,11-11-2018
,,12-11-2018
,,13-11-2018
,,14-11-2018
,,15-11-2018
,,16-11-2018
,,17-11-2018
,,18-11-2018
,,19-11-2018
,,20-11-2018
,,21-11-2018
,,22-11-2018
,,23-11-2018
,,24-11-2018
,,25-11-2018
,,26-11-2018
,,27-11-2018
,,28-11-2018
,,29-11-2018
,,30-11-2018
,,01-12-2018
,,02-12-2018
,,03-12-2018
,,04-12-2018
,,05-12-2018
,,06-12-2018
,,07-12-2018
19.61952031,2.581239638,08-12-2018
,,09-12-2018
,,10-12-2018
,,11-12-2018
,,12-12-2018
19.85046732,2.581008063,13-12-2018
,,14-12-2018
,,15-12-2018
,,16-12-2018
,,17-12-2018
25.98540701,2.580923998,18-12-2018
,,19-12-2018
,,20-12-2018
,,21-12-2018
20.89955157,2.580930647,22-12-2018
,,23-12-2018
,,24-12-2018
,,25-12-2018
,,26-12-2018
14.11032353,2.581642889,27-12-2018
,,28-12-2018
,,29-12-2018
,,30-12-2018
,,31-12-2018
13.81967989,2.581421019,01-01-2019
,,02-01-2019
,,03-01-2019
,,04-01-2019
,,05-01-2019
24.74292613,2.580816183,06-01-2019
,,07-01-2019
,,08-01-2019
,,09-01-2019
,,10-01-2019
23.74556497,2.580591164,11-01-2019
,,12-01-2019
,,13-01-2019
,,14-01-2019
,,15-01-2019
28.65702507,2.580697831,16-01-2019
,,17-01-2019
,,18-01-2019
,,19-01-2019
20.20995695,2.580786207,20-01-2019
,,21-01-2019
,,22-01-2019
,,23-01-2019
,,24-01-2019
13.35577834,2.581543162,25-01-2019
,,26-01-2019
,,27-01-2019
,,28-01-2019
,,29-01-2019
25.9120899,2.580603425,30-01-2019
,,31-01-2019
,,01-02-2019
,,02-02-2019
,,03-02-2019
33.89668069,2.580467638,04-02-2019
,,05-02-2019
,,06-02-2019
,,07-02-2019
,,08-02-2019
32.47602282,2.580271741,09-02-2019
,,10-02-2019
,,11-02-2019
,,12-02-2019
,,13-02-2019
32.74755895,2.580477505,14-02-2019
,,15-02-2019
,,16-02-2019
,,17-02-2019
,,18-02-2019
,,19-02-2019
,,20-02-2019
,,21-02-2019
,,22-02-2019
1028.238031,2.580329642,23-02-2019
,,24-02-2019
,,25-02-2019
,,26-02-2019
,,27-02-2019
67514.50212,2.580021224,28-02-2019
,,01-03-2019
,,02-03-2019
,,03-03-2019
,,04-03-2019
78334.36689,2.579280004,05-03-2019
,,06-03-2019
,,07-03-2019
,,08-03-2019
,,09-03-2019
25.20011668,2.580512521,10-03-2019
,,11-03-2019
,,12-03-2019
,,13-03-2019
,,14-03-2019
27.65260553,2.580451268,15-03-2019
,,16-03-2019
,,17-03-2019
,,18-03-2019
21.76340418,2.580628133,19-03-2019
,,20-03-2019
,,21-03-2019
,,22-03-2019
,,23-03-2019
23.08800405,2.580614901,24-03-2019
,,25-03-2019
,,26-03-2019
,,27-03-2019
,,28-03-2019
20.71911445,2.58072127,29-03-2019
,,30-03-2019
,,31-03-2019
,,01-04-2019
,,02-04-2019
11.07386465,2.581764912,03-04-2019
,,04-04-2019
,,05-04-2019
,,06-04-2019
,,07-04-2019
21.93708941,2.580701368,08-04-2019
,,09-04-2019
,,10-04-2019
,,11-04-2019
,,12-04-2019
22.40691055,2.580762969,13-04-2019
,,14-04-2019
,,15-04-2019
,,16-04-2019
20.52033825,2.580825701,17-04-2019
,,18-04-2019
,,19-04-2019
,,20-04-2019
,,21-04-2019
22.85180084,2.580721809,22-04-2019
,,23-04-2019
,,24-04-2019
,,25-04-2019
,,26-04-2019
18.50948121,2.580972572,27-04-2019
,,28-04-2019
,,29-04-2019
,,30-04-2019
,,01-05-2019
22.37307965,2.580713769,02-05-2019
,,03-05-2019
,,04-05-2019
,,05-05-2019
,,06-05-2019
22.91161781,2.580588688,07-05-2019
,,08-05-2019
,,09-05-2019
,,10-05-2019
,,11-05-2019
23.32628491,2.580664539,12-05-2019
,,13-05-2019
,,14-05-2019
,,15-05-2019
19.88538273,2.580724452,16-05-2019
,,17-05-2019
,,18-05-2019
,,19-05-2019
,,20-05-2019
21.30959654,2.580757475,21-05-2019
,,22-05-2019
,,23-05-2019
,,24-05-2019
,,25-05-2019
19.97643351,2.580749447,26-05-2019
,,27-05-2019
,,28-05-2019
,,29-05-2019
,,30-05-2019
,,31-05-2019
,,01-06-2019
,,02-06-2019
,,03-06-2019
,,04-06-2019
,,05-06-2019
,,06-06-2019
,,07-06-2019
,,08-06-2019
,,09-06-2019
,,10-06-2019
,,11-06-2019
,,12-06-2019
,,13-06-2019
,,14-06-2019
,,15-06-2019
,,16-06-2019
,,17-06-2019
,,18-06-2019
,,19-06-2019
,,20-06-2019
,,21-06-2019
,,22-06-2019
,,23-06-2019
,,24-06-2019
,,25-06-2019
,,26-06-2019
,,27-06-2019
,,28-06-2019
,,29-06-2019
,,30-06-2019
,,01-07-2019
,,02-07-2019
,,03-07-2019
,,04-07-2019
,,05-07-2019
,,06-07-2019
,,07-07-2019
,,08-07-2019
,,09-07-2019
,,10-07-2019
,,11-07-2019
,,12-07-2019
,,13-07-2019
,,14-07-2019
,,15-07-2019
,,16-07-2019
,,17-07-2019
,,18-07-2019
,,19-07-2019
,,20-07-2019
,,21-07-2019
,,22-07-2019
,,23-07-2019
,,24-07-2019
,,25-07-2019
,,26-07-2019
,,27-07-2019
,,28-07-2019
,,29-07-2019
,,30-07-2019
,,31-07-2019
,,01-08-2019
,,02-08-2019
,,03-08-2019
,,04-08-2019
,,05-08-2019
,,06-08-2019
,,07-08-2019
,,08-08-2019
,,09-08-2019
,,10-08-2019
,,11-08-2019
,,12-08-2019
,,13-08-2019
,,14-08-2019
,,15-08-2019
,,16-08-2019
,,17-08-2019
,,18-08-2019
,,19-08-2019
,,20-08-2019
,,21-08-2019
,,22-08-2019
,,23-08-2019
,,24-08-2019
,,25-08-2019
,,26-08-2019
,,27-08-2019
,,28-08-2019
,,29-08-2019
,,30-08-2019
,,31-08-2019
,,01-09-2019
,,02-09-2019
,,03-09-2019
,,04-09-2019
,,05-09-2019
,,06-09-2019
,,07-09-2019
,,08-09-2019
,,09-09-2019
,,10-09-2019
,,11-09-2019
,,12-09-2019
,,13-09-2019
22.15727099,2.582691228,14-09-2019
,,15-09-2019
,,16-09-2019
,,17-09-2019
,,18-09-2019
23.92450043,2.582963406,19-09-2019
,,20-09-2019
,,21-09-2019
,,22-09-2019
,,23-09-2019
37.63696494,2.583134093,24-09-2019
,,25-09-2019
,,26-09-2019
,,27-09-2019
,,28-09-2019
,,29-09-2019
,,30-09-2019
,,01-10-2019
,,02-10-2019
,,03-10-2019
,,04-10-2019
,,05-10-2019
,,06-10-2019
,,07-10-2019
,,08-10-2019
,,09-10-2019
,,10-10-2019
,,11-10-2019
,,12-10-2019
,,13-10-2019
,,14-10-2019
,,15-10-2019
,,16-10-2019
,,17-10-2019
,,18-10-2019
,,19-10-2019
,,20-10-2019
,,21-10-2019
,,22-10-2019
,,23-10-2019
,,24-10-2019
,,25-10-2019
,,26-10-2019
,,27-10-2019
,,28-10-2019
,,29-10-2019
,,30-10-2019
,,31-10-2019
,,01-11-2019
16.42053149,2.582992172,02-11-2019
,,03-11-2019
,,04-11-2019
,,05-11-2019
,,06-11-2019
15.63173023,2.582926853,07-11-2019
,,08-11-2019
,,09-11-2019
,,10-11-2019
13.00636871,2.582733785,11-11-2019
,,12-11-2019
,,13-11-2019
,,14-11-2019
,,15-11-2019
15.6814861,2.582984135,16-11-2019
,,17-11-2019
,,18-11-2019
,,19-11-2019
,,20-11-2019
30.28159511,2.582968939,21-11-2019
,,22-11-2019
,,23-11-2019
,,24-11-2019
,,25-11-2019
28.41061745,2.583094538,26-11-2019
,,27-11-2019
,,28-11-2019
,,29-11-2019
,,30-11-2019
24.9262633,2.582890547,01-12-2019
,,02-12-2019
,,03-12-2019
,,04-12-2019
,,05-12-2019
29.93900842,2.583291614,06-12-2019
,,07-12-2019
,,08-12-2019
,,09-12-2019
,,10-12-2019
,,11-12-2019
,,12-12-2019
,,13-12-2019
,,14-12-2019
,,15-12-2019
,,16-12-2019
,,17-12-2019
,,18-12-2019
,,19-12-2019
30.10859257,2.583242612,20-12-2019
,,21-12-2019
,,22-12-2019
,,23-12-2019
,,24-12-2019
16.89417987,2.583137097,25-12-2019
,,26-12-2019
,,27-12-2019
,,28-12-2019
,,29-12-2019
,,30-12-2019
,,31-12-2019
,,01-01-2020
,,02-01-2020
,,03-01-2020
,,04-01-2020
,,05-01-2020
,,06-01-2020
,,07-01-2020
25.996415,2.583165141,08-01-2020
,,09-01-2020
,,10-01-2020
,,11-01-2020
,,12-01-2020
17.92618694,2.582922755,13-01-2020
,,14-01-2020
,,15-01-2020
,,16-01-2020
,,17-01-2020
31.70833414,2.583027901,18-01-2020
,,19-01-2020
,,20-01-2020
,,21-01-2020
,,22-01-2020
37.15986232,2.583533761,23-01-2020
,,24-01-2020
,,25-01-2020
,,26-01-2020
,,27-01-2020
24.63798668,2.582854708,28-01-2020
,,29-01-2020
,,30-01-2020
,,31-01-2020
,,01-02-2020
44.88329548,2.583174247,02-02-2020
,,03-02-2020
,,04-02-2020
,,05-02-2020
,,06-02-2020
,,07-02-2020
,,08-02-2020
,,09-02-2020
,,10-02-2020
252.6887392,2.583150203,11-02-2020
,,12-02-2020
,,13-02-2020
,,14-02-2020
,,15-02-2020
3005350.367,2.583505038,16-02-2020
,,17-02-2020
,,18-02-2020
,,19-02-2020
,,20-02-2020
368193.6677,2.583384565,21-02-2020
,,22-02-2020
,,23-02-2020
,,24-02-2020
,,25-02-2020
3147614.744,2.583196823,26-02-2020
,,27-02-2020
,,28-02-2020
,,29-02-2020
,,01-03-2020
,,02-03-2020
,,03-03-2020
,,04-03-2020
,,05-03-2020
29.10937988,2.582402238,06-03-2020
,,07-03-2020
,,08-03-2020
,,09-03-2020
,,10-03-2020
18.0754508,2.582729606,11-03-2020
,,12-03-2020
,,13-03-2020
,,14-03-2020
,,15-03-2020
21.32776501,2.582520709,16-03-2020
,,17-03-2020
,,18-03-2020
,,19-03-2020
,,20-03-2020
25.05759516,2.582594752,21-03-2020
,,22-03-2020
,,23-03-2020
,,24-03-2020
,,25-03-2020
27.75027778,2.582467907,26-03-2020
,,27-03-2020
,,28-03-2020
,,29-03-2020
,,30-03-2020
21.31360673,2.582438158,31-03-2020
,,01-04-2020
,,02-04-2020
,,03-04-2020
,,04-04-2020
,,05-04-2020
,,06-04-2020
,,07-04-2020
,,08-04-2020
21.03646925,2.582463385,09-04-2020
,,10-04-2020
,,11-04-2020
,,12-04-2020
,,13-04-2020
19.34874213,2.582094379,14-04-2020
,,15-04-2020
,,16-04-2020
,,17-04-2020
,,18-04-2020
16.65602959,2.582347879,19-04-2020
,,20-04-2020
,,21-04-2020
,,22-04-2020
,,23-04-2020
24.0743363,2.582391173,24-04-2020
,,25-04-2020
,,26-04-2020
,,27-04-2020
,,28-04-2020
17.41111599,2.58212037,29-04-2020
,,30-04-2020
,,01-05-2020
,,02-05-2020
,,03-05-2020
,,04-05-2020
,,05-05-2020
,,06-05-2020
,,07-05-2020
12.18009031,2.582273576,08-05-2020
,,09-05-2020
,,10-05-2020
,,11-05-2020
,,12-05-2020
17.54527526,2.582128447,13-05-2020
,,14-05-2020
,,15-05-2020
,,16-05-2020
,,17-05-2020
,,18-05-2020
,,19-05-2020
,,20-05-2020
,,21-05-2020
,,22-05-2020
,,23-05-2020
,,24-05-2020
,,25-05-2020
,,26-05-2020
,,27-05-2020
,,28-05-2020
,,29-05-2020
,,30-05-2020
,,31-05-2020
,,01-06-2020
13.05013366,2.581911477,02-06-2020
,,03-06-2020
,,04-06-2020
,,05-06-2020
,,06-06-2020
,,07-06-2020
,,08-06-2020
,,09-06-2020
,,10-06-2020
,,11-06-2020
,,12-06-2020
,,13-06-2020
,,14-06-2020
,,15-06-2020
,,16-06-2020
,,17-06-2020
,,18-06-2020
,,19-06-2020
,,20-06-2020
,,21-06-2020
,,22-06-2020
,,23-06-2020
,,24-06-2020
,,25-06-2020
,,26-06-2020
,,27-06-2020
,,28-06-2020
,,29-06-2020
,,30-06-2020
,,01-07-2020
,,02-07-2020
,,03-07-2020
,,04-07-2020
,,05-07-2020
,,06-07-2020
,,07-07-2020
,,08-07-2020
,,09-07-2020
,,10-07-2020
,,11-07-2020
,,12-07-2020
,,13-07-2020
,,14-07-2020
,,15-07-2020
,,16-07-2020
,,17-07-2020
,,18-07-2020
,,19-07-2020
,,20-07-2020
,,21-07-2020
,,22-07-2020
,,23-07-2020
,,24-07-2020
,,25-07-2020
,,26-07-2020
,,27-07-2020
,,28-07-2020
,,29-07-2020
,,30-07-2020
,,31-07-2020
,,01-08-2020
,,02-08-2020
,,03-08-2020
,,04-08-2020
,,05-08-2020
,,06-08-2020
,,07-08-2020
,,08-08-2020
,,09-08-2020
,,10-08-2020
,,11-08-2020
,,12-08-2020
,,13-08-2020
,,14-08-2020
,,15-08-2020
,,16-08-2020
,,17-08-2020
,,18-08-2020
,,19-08-2020
,,20-08-2020
,,21-08-2020
,,22-08-2020
,,23-08-2020
,,24-08-2020
,,25-08-2020
,,26-08-2020
,,27-08-2020
30.28592961,2.582500149,28-08-2020
,,29-08-2020
,,30-08-2020
,,31-08-2020
,,01-09-2020
,,02-09-2020
,,03-09-2020
,,04-09-2020
,,05-09-2020
,,06-09-2020
,,07-09-2020
,,08-09-2020
,,09-09-2020
,,10-09-2020
,,11-09-2020
,,12-09-2020
,,13-09-2020
,,14-09-2020
,,15-09-2020
15.09705893,2.583015097,16-09-2020
,,17-09-2020
,,18-09-2020
,,19-09-2020
,,20-09-2020
14.48208866,2.583121898,21-09-2020
,,22-09-2020
,,23-09-2020
,,24-09-2020
,,25-09-2020
16.38773469,2.582756962,26-09-2020
,,27-09-2020
,,28-09-2020
,,29-09-2020
12.00343982,2.582767861,30-09-2020
,,01-10-2020
,,02-10-2020
,,03-10-2020
,,04-10-2020
13.22177916,2.582882332,05-10-2020
,,06-10-2020
,,07-10-2020
,,08-10-2020
,,09-10-2020
10.06705389,2.58292017,10-10-2020
,,11-10-2020
,,12-10-2020
,,13-10-2020
,,14-10-2020
12.39213182,2.582841889,15-10-2020
,,16-10-2020
,,17-10-2020
,,18-10-2020
,,19-10-2020
11.3008088,2.582999778,20-10-2020
,,21-10-2020
,,22-10-2020
,,23-10-2020
,,24-10-2020
12.75717327,2.582877046,25-10-2020
,,26-10-2020
,,27-10-2020
,,28-10-2020
15.38120141,2.58297084,29-10-2020
,,30-10-2020
,,31-10-2020
,,01-11-2020
,,02-11-2020
21.38517926,2.582944308,03-11-2020
,,04-11-2020
,,05-11-2020
,,06-11-2020
,,07-11-2020
,,08-11-2020
,,09-11-2020
,,10-11-2020
,,11-11-2020
,,12-11-2020
17.14015335,2.582769686,13-11-2020
,,14-11-2020
,,15-11-2020
,,16-11-2020
,,17-11-2020
17.77626954,2.583122408,18-11-2020
,,19-11-2020
,,20-11-2020
,,21-11-2020
,,22-11-2020
17.81301801,2.582812026,23-11-2020
,,24-11-2020
,,25-11-2020
,,26-11-2020
10.21121435,2.582817141,27-11-2020
,,28-11-2020
,,29-11-2020
,,30-11-2020
,,01-12-2020
16.17153476,2.582650415,02-12-2020
,,03-12-2020
,,04-12-2020
,,05-12-2020
,,06-12-2020
,,07-12-2020
,,08-12-2020
,,09-12-2020
,,10-12-2020
,,11-12-2020
21.65993715,2.582812728,12-12-2020
,,13-12-2020
,,14-12-2020
,,15-12-2020
,,16-12-2020
19.78435913,2.583102161,17-12-2020
,,18-12-2020
,,19-12-2020
,,20-12-2020
,,21-12-2020
4759.876644,2.582935264,22-12-2020
,,23-12-2020
,,24-12-2020
,,25-12-2020
,,26-12-2020
,,27-12-2020
,,28-12-2020
,,29-12-2020
,,30-12-2020
15.71303775,2.582342208,31-12-2020
,,01-01-2021
,,02-01-2021
,,03-01-2021
,,04-01-2021
29.15155663,2.58304769,05-01-2021
,,06-01-2021
,,07-01-2021
,,08-01-2021
,,09-01-2021
38.29405086,2.582670199,10-01-2021
,,11-01-2021
,,12-01-2021
,,13-01-2021
,,14-01-2021
26.03251928,2.582874378,15-01-2021
,,16-01-2021
,,17-01-2021
,,18-01-2021
,,19-01-2021
53.17030919,2.582833595,20-01-2021
,,21-01-2021
,,22-01-2021
,,23-01-2021
,,24-01-2021
57.44165435,2.582894693,25-01-2021
,,26-01-2021
,,27-01-2021
,,28-01-2021
888.9565057,2.58285912,29-01-2021
,,30-01-2021
,,31-01-2021
,,01-02-2021
,,02-02-2021
,,03-02-2021
,,04-02-2021
,,05-02-2021
,,06-02-2021
,,07-02-2021
14.08933692,2.582336262,08-02-2021
,,09-02-2021
,,10-02-2021
,,11-02-2021
,,12-02-2021
,,13-02-2021
,,14-02-2021
,,15-02-2021
,,16-02-2021
,,17-02-2021
32.40849254,2.582505955,18-02-2021
,,19-02-2021
,,20-02-2021
,,21-02-2021
24.02209119,2.582370627,22-02-2021
,,23-02-2021
,,24-02-2021
,,25-02-2021
,,26-02-2021
22.42782735,2.582435076,27-02-2021
,,28-02-2021
,,01-03-2021
,,02-03-2021
,,03-03-2021
13.79575298,2.582324367,04-03-2021
,,05-03-2021
,,06-03-2021
,,07-03-2021
,,08-03-2021
17.66577095,2.582126704,09-03-2021
,,10-03-2021
,,11-03-2021
,,12-03-2021
,,13-03-2021
,,14-03-2021
,,15-03-2021
,,16-03-2021
,,17-03-2021
,,18-03-2021
31.52161623,2.582536196,19-03-2021
,,20-03-2021
,,21-03-2021
,,22-03-2021
,,23-03-2021
,,24-03-2021
,,25-03-2021
,,26-03-2021
,,27-03-2021
21.23819819,2.582235249,28-03-2021
,,29-03-2021
,,30-03-2021
,,31-03-2021
,,01-04-2021
21.43360767,2.582212793,02-04-2021
,,03-04-2021
,,04-04-2021
,,05-04-2021
,,06-04-2021
20.87956536,2.582260705,07-04-2021
,,08-04-2021
,,09-04-2021
,,10-04-2021
,,11-04-2021
16.47692314,2.581881377,12-04-2021
,,13-04-2021
,,14-04-2021
,,15-04-2021
,,16-04-2021
19.77404892,2.581903424,17-04-2021
,,18-04-2021
,,19-04-2021
,,20-04-2021
,,21-04-2021
,,22-04-2021
,,23-04-2021
,,24-04-2021
,,25-04-2021
,,26-04-2021
,,27-04-2021
,,28-04-2021
,,29-04-2021
,,30-04-2021
,,01-05-2021
,,02-05-2021
,,03-05-2021
,,04-05-2021
,,05-05-2021
,,06-05-2021
,,07-05-2021
,,08-05-2021
,,09-05-2021
,,10-05-2021
,,11-05-2021
,,12-05-2021
,,13-05-2021
,,14-05-2021
,,15-05-2021
,,16-05-2021
,,17-05-2021
,,18-05-2021
,,19-05-2021
,,20-05-2021
,,21-05-2021
,,22-05-2021
,,23-05-2021
,,24-05-2021
18.58761654,2.582069356,25-05-2021
,,26-05-2021
,,27-05-2021
,,28-05-2021
,,29-05-2021
,,30-05-2021
,,31-05-2021
,,01-06-2021
,,02-06-2021
,,03-06-2021
,,04-06-2021
,,05-06-2021
,,06-06-2021
,,07-06-2021
,,08-06-2021
,,09-06-2021
,,10-06-2021
,,11-06-2021
,,12-06-2021
,,13-06-2021
,,14-06-2021
,,15-06-2021
,,16-06-2021
,,17-06-2021
,,18-06-2021
,,19-06-2021
,,20-06-2021
,,21-06-2021
,,22-06-2021
,,23-06-2021
,,24-06-2021
,,25-06-2021
,,26-06-2021
,,27-06-2021
,,28-06-2021
,,29-06-2021
,,30-06-2021
,,01-07-2021
,,02-07-2021
,,03-07-2021
,,04-07-2021
,,05-07-2021
,,06-07-2021
,,07-07-2021
,,08-07-2021
,,09-07-2021
,,10-07-2021
,,11-07-2021
,,12-07-2021
,,13-07-2021
,,14-07-2021
,,15-07-2021
,,16-07-2021
,,17-07-2021
,,18-07-2021
,,19-07-2021
,,20-07-2021
,,21-07-2021
,,22-07-2021
,,23-07-2021
,,24-07-2021
,,25-07-2021
,,26-07-2021
,,27-07-2021
,,28-07-2021
,,29-07-2021
,,30-07-2021
,,31-07-2021
,,01-08-2021
,,02-08-2021
,,03-08-2021
,,04-08-2021
,,05-08-2021
,,06-08-2021
,,07-08-2021
,,08-08-2021
,,09-08-2021
,,10-08-2021
,,11-08-2021
,,12-08-2021
,,13-08-2021
,,14-08-2021
,,15-08-2021
,,16-08-2021
,,17-08-2021
,,18-08-2021
,,19-08-2021
,,20-08-2021
,,21-08-2021
,,22-08-2021
,,23-08-2021
,,24-08-2021
,,25-08-2021
,,26-08-2021
,,27-08-2021
,,28-08-2021
,,29-08-2021
44.81004635,2.582642679,30-08-2021
,,31-08-2021
,,01-09-2021
,,02-09-2021
,,03-09-2021
,,04-09-2021
,,05-09-2021
,,06-09-2021
,,07-09-2021
,,08-09-2021
12.94357071,2.582342876,09-09-2021
,,10-09-2021
,,11-09-2021
,,12-09-2021
,,13-09-2021
15.34935969,2.58242499,14-09-2021
,,15-09-2021
,,16-09-2021
,,17-09-2021
16.74203224,2.582467655,18-09-2021
,,19-09-2021
,,20-09-2021
,,21-09-2021
,,22-09-2021
10.16895219,2.582244291,23-09-2021
,,24-09-2021
,,25-09-2021
,,26-09-2021
,,27-09-2021
17.42333931,2.582431828,28-09-2021
,,29-09-2021
,,30-09-2021
,,01-10-2021
,,02-10-2021
,,03-10-2021
,,04-10-2021
,,05-10-2021
,,06-10-2021
,,07-10-2021
,,08-10-2021
,,09-10-2021
,,10-10-2021
,,11-10-2021
,,12-10-2021
17.22874437,2.58268087,13-10-2021
,,14-10-2021
,,15-10-2021
,,16-10-2021
,,17-10-2021
,,18-10-2021
,,19-10-2021
,,20-10-2021
,,21-10-2021
10.25557454,2.582478675,22-10-2021
,,23-10-2021
,,24-10-2021
,,25-10-2021
,,26-10-2021
19.61416167,2.582352668,27-10-2021
,,28-10-2021
,,29-10-2021
,,30-10-2021
,,31-10-2021
,,01-11-2021
,,02-11-2021
,,03-11-2021
,,04-11-2021
,,05-11-2021
17.96211529,2.582414012,06-11-2021
,,07-11-2021
,,08-11-2021
,,09-11-2021
,,10-11-2021
21.21650569,2.582401387,11-11-2021
,,12-11-2021
,,13-11-2021
,,14-11-2021
,,15-11-2021
,,16-11-2021
,,17-11-2021
